"Идентификатор","Комнатность","Новостройка","Метро.Район","Время.до.метро","Улица","Дом","Этаж","Этажность","Площадь.общая","Площадь.жилая","Площадь.кухни","Ценавруб.","Ценавдолл.","Ценавевро","Источник.получения","Дата.объявления","Контакты","На.сайте","Описание"
23652864,1,"Нет","Таганская",10,"Нижегородская","59","4",9,32,17,9,5900000,167708,123843,"Азбука Жилья","06.11.2013 10:20:21","Тел.: +7 (495) 739-5551, http://http://www.azbuka-vtorich.ru/77611, mailto:belorusvtoz@azbuka.ru","","Квартира 1-комн., общ.пл.-32, жил.пл.-17, кухня-9, метро или район:Таганская, 10 мин. т, адрес:Москва, Нижегородская, 59, этаж/этажность -4/9, балкон:Л, санузел-совм., Квартира в хорошем состоянии. Теплый кирпичный дом, ухоженный подъезд. Рядом с домом детские сады, школа, поликлиника, магазин Ашан. 1 собственник, приватизация более 3-х лет. свободная продажа. Менеджер по продажам: 8-965-149-59-13, Цена:5.9 млн. руб."
23720472,2,"Нет","Комсомольская",20,"Ангарская","1","9",12,42,25,7,5900000,167708,123843,"ССР-Недвижимость","20.11.2013 5:35:11","Тел.: (495) 739-59-70, http://www.ssrr.ru, mailto:office@ssrr.ru","http://www.ssrr.ru/list/buy_flat/3933/","Квартира 2-комн., общ.пл.-42, жил.пл.-25, кухня-7, метро или район:Комсомольская, 20 мин. т, адрес:Москва, Ангарская, 1/2, этаж/этажность -9/12, телефон-ЕСТЬ, Свободная продажа! Один взрослый собственник. Очень хорошее транспортное сообщение, в пешей доступности школы, д/сады, поликлиники, магазины. Недалеко Коровинский парк. Застекленный балкон 3 м. Комнаты изолированные., Цена:5.9 млн. руб."
23787247,1,"Нет","Киевская",15,"Витебская","5","1",17,38,19.5,9,6200000,180969,133635,"ИНКОМ-Недвижимость","30.11.2013 12:20:55","Тел.: +7(495)363-04-30, mailto:mk_op@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0249251&ir=bazaincom","Квартира 1-комн., общ.пл.-38.70, жил.пл.-19.50, кухня-9.00, метро или район:Киевская, 15 мин. т, адрес:Москва, Витебская, 5, этаж/этажность -1/17, телефон-ЕСТЬ, санузел-совм., Лот: вт-0249251, прекрасная квартира, до 4-х станций метро равное расстояние, один собств., более 3-х лет в собств., альтернатива подобрана, срочно, спешите, Цена:6.2 млн. руб.|180.969 тыс.$|133.635 тыс. евро"
23960885,2,"Нет","Таганская",15,"Карачаровская 3-я","14","5",9,38,23.7,6.4,6200000,180969,133635,"ИНКОМ-Недвижимость","14.01.2014 13:50:09","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0201326&ir=bazaincom","Квартира 2-комн., общ.пл.-38.20, жил.пл.-23.70, кухня-6.40, метро или район:Таганская, 15 мин. т, адрес:Москва, Карачаровская 3-я, 14/1, этаж/этажность -5/9, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0201326, чистая уютная квартира, в собственности более 3-х лет, тихий р-н, рядом ж/д ст. Кузьминки Содействие в получении специальных условий и преференций по ипотеке., Цена:6.2 млн. руб.|180.969 тыс.$|133.635 тыс. евро"
23905868,2,"Нет","Марксистская",12,"Карачаровская 3-я","14","2",9,35,21,6,6200000,180969,133635,"ИНКОМ-Недвижимость","25.12.2013 12:20:34","Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251123&ir=bazaincom","Квартира 2-комн., общ.пл.-35.00, жил.пл.-21.00, кухня-6.00, метро или район:Марксистская, 12 мин. т, адрес:Москва, Карачаровская 3-я, 14/1, этаж/этажность -2/9, телефон-ЕСТЬ, санузел-совм., Лот: вт-0251123, района Нижегородский, дом во дворе, рядом школы, поликлиника, АШАН, усадьба Кусково, чистый подъезд, отдельный тамбур на 2 квартиры, никто не зарегистрирован, продажа по полной стоимости, метро в 2016г, 8-903-283-47-06 Содействие в получении специальных условий и преференций по ипотеке.,  ..."
23953154,1,"Нет","Таганская",10,"Калитниковская Б.","46","2",12,35,20,10,6300000,183887,135790,"ИНКОМ-Недвижимость","11.01.2014 12:35:30","Тел.: +7(495)363-17-91, mailto:mk_vyh@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0213359&ir=bazaincom","Квартира 1-комн., общ.пл.-35.00, жил.пл.-20.00, кухня-10.00, метро или район:Таганская, 10 мин. т, адрес:Москва, Калитниковская Б., 46, этаж/этажность -2/12, телефон-ЕСТЬ, санузел-совм., Лот: вт-0213359, Отличное состояние, стильный качественнный евроремонт, хорошие соседи. Лучшее предложение в районе ЦАО, удобное транспортное сообщение шаговая доступность до метро Таганская, Маркситская, Рязанский проспект, скорое открытие нового метро Нижегородская. удобный выезд на ТТК. в 2011 году был ка ..."
24052400,1,"Нет","Проспект Мира",10,"Каланчевская","30","5",5,35,20.2,5.5,6500000,189725,140101,"ИНКОМ-Недвижимость","01.02.2014 12:20:45","Тел.: +7(495)363-22-23, mailto:mk_sv@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0205862&ir=bazaincom","Квартира 1-комн., общ.пл.-35.00, жил.пл.-20.20, кухня-5.50, метро или район:Проспект Мира, 10 мин. п, адрес:Москва, Каланчевская, 30, этаж/этажность -5/5, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0205862, среднее состояние, хорошие соседи, центр Москвы, окна в зеленый двор, вся инф-ра, более трех лет в собственности, один собственник, Цена:6.5 млн. руб.|189.725 тыс.$|140.101 тыс. евро"
23963748,1,"Нет","Павелецкая",15,"Дубининская","88","1",14,35,19,9,6500000,189725,140101,"ИНКОМ-Недвижимость","15.01.2014 12:20:40","Тел.: +7(495)363-17-91, mailto:mk_vyh@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0225872&ir=bazaincom","Квартира 1-комн., общ.пл.-35.00, жил.пл.-19.00, кухня-9.00, метро или район:Павелецкая, 15 мин. п, адрес:Москва, Дубининская, 88, этаж/этажность -1/14, балкон:Л, телефон-ЕСТЬ, санузел-совм., Лот: вт-0225872, Хорошее состояние, большая застекленная лоджия на кухню и комнату, высокий первый этаж, стеклопакеты, окна выходят во двор, развитая инфраструктура рядом школа, д-сад, поликлиника, Даниловский монастырь, в шаговой доступности метро Тульская, Добрынинская, Павелецкая. Содействие в получен ..."
21481788,5,"Нет","Парк культуры",3,"Тимура Фрунзе","20","2",6,139,40,16,6500000,184764,136437,"Eurodoma","05.04.2013 5:50:09","Тел.: (495)777-3017,(903)161-5549, http://www.arendamsk.ru, mailto:7773017@mail.ru","","Квартира 5-комн., общ.пл.-139, жил.пл.-40, кухня-16, метро или район:Парк культуры, 3 мин. п, адрес:Москва, Тимура Фрунзе, 20, этаж/этажность -2/6, Продаем 2 смежные комнаты в коммунальной квартире с единственным балконом в доме и возможностью сделать веранду, проживают 4 человека, квартира из 6 комнат, можно расселить. Среднее состояние, в комнатах нужен ремонт. Потолки - 3, 3 м. Кухня -16 м, сан/узел раздельный. В маленькой комнате три окна, с одного торцевого есть возможность сделать вера ..."
22897293,1,"Нет","Таганская",10,"Волочаевская","14","8",17,35,19,10,6800000,198482,146567,"ИНКОМ-Недвижимость","23.08.2013 16:50:06","Тел.: +7(495)363-17-71, mailto:mk_mn@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0241573&ir=bazaincom","Квартира 1-комн., общ.пл.-35.00, жил.пл.-19.00, кухня-10.00, метро или район:Таганская, 10 мин. п, адрес:Москва, Волочаевская, 14/1, этаж/этажность -8/17, балкон:Л, телефон-ЕСТЬ, санузел-совм., Лот: вт-0241573, хорошее состояние, ком-та с альковом, окна-двор, большая застекленная лоджия на всю кв-ру, чистый подъезд, удачное расположение дома, тихий зеленый двор, хорошая транспортная доступность, прямая продажа, свободна, 8-985-225-75-21 Елена, Содействие в получении специальных условий и пре ..."
23721167,2,"Нет","Павелецкая",10,"2-й Павелецкий проезд","6","9",9,37,23,8,6800000,193291,142734,"Азбука Жилья","21.11.2013 5:20:12","Тел.: +7 (495) 739-5551, http://http://www.azbuka-vtorich.ru/78886, mailto:belorusvtoz@azbuka.ru","","Квартира 2-комн., общ.пл.-37, жил.пл.-23, кухня-8, метро или район:Павелецкая, 10 мин. т, адрес:Москва, 2-й Павелецкий проезд, 6, этаж/этажность -9/9, балкон:Б, санузел-разд., Уютная квартира в центре Москвы.Комнаты смежно-изолированные,просторная кухня,окна во двор.Оперативные показы быстрый выход на сделку.Торг уместен. Менеджер по продажам: 8-903-741-27-97, Цена:6.8 млн. руб."
23864464,1,"Нет","Проспект Мира",5,"Протопоповский пер","40","1",9,33,21.5,5.5,7100000,207238,153033,"ИНКОМ-Недвижимость","18.12.2013 12:35:39","Тел.: +7(495)363-63-41, mailto:rent_mr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0250824&ir=bazaincom","Квартира 1-комн., общ.пл.-33.00, жил.пл.-21.50, кухня-5.50, метро или район:Проспект Мира, 5 мин. п, адрес:Москва, Протопоповский пер, 40, этаж/этажность -1/9, телефон-ЕСТЬ, санузел-совм., Лот: вт-0250824, Один собственник. Более 3-х лет в собственности. Альтернатива. Полная стоимость в договоре. Ипотека приветствуется. Квартира с евроремонтом. Мебель на кухне и встроенный шкаф остается. Оперативный показ. Содействие в получении специальных условий и преференций по ипотеке., Цена:7.1 млн. ру ..."
23963904,1,"Нет","Таганская",15,"Волгоградский пр-кт","5","3",7,32,18,7.5,7100000,207238,153033,"ИНКОМ-Недвижимость","15.01.2014 12:20:40","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0240468&ir=bazaincom","Квартира 1-комн., общ.пл.-32.00, жил.пл.-18.00, кухня-7.50, метро или район:Таганская, 15 мин. п, адрес:Москва, Волгоградский пр-кт, 5, этаж/этажность -3/7, телефон-ЕСТЬ, санузел-совм., Лот: вт-0240468, Срочно, торг, отличное состояние дома, подъезда, квартиры. Стоянка для автомобилей, 15 мин. пешком до Таганской площади, инфраструктура, застекленная лоджия, стеклопакеты, тамбур. Содействие в получении специальных условий и преференций по ипотеке., Цена:7.1 млн. руб.|207.238 тыс.$|153.033 ты ..."
24042641,1,"Нет","Павелецкая",NA,"Дубининская","","?",NA,NA,NA,NA,7100000,201819,149031,"Н&Ц","31.01.2014 4:35:10","Тел.: 8-495-232-6703, http://www. evans. ru","","Квартира 1-комн., общ.пл.-?, жил.пл.-?, кухня-?, метро или район:Павелецкая, адрес:Москва, Дубининская, , этаж/этажность -?/?, гостиная совм. с кухней, с/у совмещен, душевая. Встроенная кухня на заказ, итальян. быт. техн., Цена:7.1 млн. руб.ID 36938."
24010479,1,"Нет","Чеховская",10,"Страстной б-р","12","4",4,19,13,5,7150000,203240,150081,"CENTURY 21","22.01.2014 6:35:11","Тел.: +7(495)724-42-00, http://http://globus.c21russia.com/, mailto:i.soloduhin@c21russia.com","","Квартира 1-комн., общ.пл.-19.00, жил.пл.-13.00, кухня-5, метро или район:Чеховская, 10 мин. п, адрес:Москва, Страстной б-р, 12, этаж/этажность -4/4, Однокомнатная квартира, по адресу Страстной бульвар 12, на 4-м этаже 4-х этажного кирпичного дома. До метро Чеховская 3 минуты пеш. Общая площадь: 19 кв. м, жилая: 13 кв. м., кухня: 5 кв. м. Сан узел совмещен. В квартире требуется ремонт. Развитая инфраструктура. Окна во двор. Рядом школа, детские сады, парикмахерская, аптека, продуктовые магази ..."
23144670,1,"Нет","Киевская",10,"Мосфильмовская","34","9",9,32,22,5.6,7200000,210157,155189,"ИНКОМ-Недвижимость","20.09.2013 14:05:03","Тел.: +7(495)363-04-24, mailto:mk_zp@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0215955&ir=bazaincom","Квартира 1-комн., общ.пл.-32.00, жил.пл.-22.00, кухня-5.60, метро или район:Киевская, 10 мин. т, адрес:Москва, Мосфильмовская, 34, этаж/этажность -9/9, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0215955, Престижный район, великолепный панорамный вид из окна на ""Мосфильм"", Университет, башни ""Москва-Сити"", ЖК ""Мосфильмовский"". 15 минут транспортом, и вы у метро ""Киевская"" или ""Университет"". Документы более 3-х лет, 1 собственник, ТОРГ, Цена:7.2 млн. руб.|210.157 тыс.$|155.189 тыс. евро"
23712140,1,"Нет","Таганская",15,"Рогожский Б. пер","15","3",9,33,19.1,6.1,7300000,213076,157344,"ИНКОМ-Недвижимость","16.11.2013 12:20:46","Тел.: +7(495)363-10-32, mailto:mk_vn@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248181&ir=bazaincom","Квартира 1-комн., общ.пл.-33.90, жил.пл.-19.10, кухня-6.10, метро или район:Таганская, 15 мин. п, адрес:Москва, Рогожский Б. пер, 15, этаж/этажность -3/9, телефон-ЕСТЬ, санузел-разд., Лот: вт-0248181, хорошее жилое состояние квартиры, стеклопакеты на окнах, самый спокойный и комфортный исторический район в центре г. Москвы, рядом Таганский и детский парки, Покровский монастырь, удобное расположение магазинов, лечебных учреждений, д/садов и школ, идеальная транспортная доступность: 7 минут ст ..."
23686705,2,"Нет","Киевская",14,"Пырьева","8","2",9,38,23,7.6,7300000,207504,153230,"Ризолит на Белорус.","09.11.2013 5:35:23","Тел.: (495) 925-8825, mailto:info@9258825.ru","http://9258825.ru/realty/viewRealtyFlat.act?realtyObjectId=1204959","Квартира 2-комн., общ.пл.-38.0, жил.пл.-23.0, кухня-7.6, метро или район:Киевская, 14 мин. п, адрес:Москва, Пырьева, 8, этаж/этажность -2/9, Квартира расположена в престижном районе, недалеко от киностудии ""Мосфильм"" и МГУ (15 минут пешком). Скоро открытие ст. метро ""Ломоносовский проспект"". Парковая зона ""Долина реки Сетунь"" и ""Воробьёвы горы"". Красивый дом облицован плиткой, чистый отремонтированный подъезд, тамбур с металлической дверью на 4 квартиры. В квартире установлены хорошие стекло ..."
23866662,3,"Нет","Таганская",15,"Рязанский пр-кт","25","3",14,56,34,6,7353000,209010,154342,"Бест.Центр Заг.Недв.","19.12.2013 7:35:00","Тел.: +7-916-740-14-07, http://http://www.9256601.ru/item22890.html, mailto:dom@9256601.ru","","Квартира 3-комн., общ.пл.-56, жил.пл.-34, кухня-6, метро или район:Таганская, 15 мин. п, адрес:Москва, Рязанский пр-кт, 25, этаж/этажность -3/14, телефон-ЕСТЬ, санузел-совм., Лот N 22890. Новогодняя скидка 10 %. 3х-комнатная квартира в кирпичном доме по цене двухкомнатной. М. Таганская, 10 мин. тр. Рязанский проспект, дом 25. 3/5К, общая пл. 56, жилая 34, кухня 6. Комнаты изолированные. Балкон, телефон. Окна во двор. Требует ремонта. Чистый подъезд. Тихие соседи. Приватизация, один собственн ..."
24043288,1,"Нет","Сухаревская",3,"Ананьевский","4/2","1",5,29,20.2,NA,7360000,209209,154489,"Н&Ц","31.01.2014 4:35:10","Тел.: 8-925-771-1449","","Квартира 1-комн., общ.пл.-29, жил.пл.-20.2, кухня-?, метро или район:Сухаревская, 3 мин. пеш., адрес:Москва, Ананьевский, 4/2/2, этаж/этажность -1/5, кладовка, высота потолков 3м, пластик. стеклопакеты, решетки на окнах, домофон. Чистая, уютная кв., Цена:7.36 млн. руб."
24037142,2,"Нет","Киевская",10,"Сетуньский 3-й проезд","3","9",10,41,26.3,5.5,7400000,215995,159500,"ИНКОМ-Недвижимость","28.01.2014 13:20:03","Тел.: +7(495)363-01-71, mailto:mk_zl@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0252810&ir=bazaincom","Квартира 2-комн., общ.пл.-41.00, жил.пл.-26.30, кухня-5.50, метро или район:Киевская, 10 мин. т, адрес:Москва, Сетуньский 3-й проезд, 3, этаж/этажность -9/10, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0252810, светлая, теплая квартира, изолированные комнаты, окна выходят на МГУ, Воробьевы горы Содействие в получении специальных условий и преференций по ипотеке., Цена:7.4 млн. руб.|215.995 тыс.$|159.5 тыс. евро"
23571277,1,"Нет","Проспект Мира",4,"Орлово-Давыдовский пер","2/5","5",6,30,16.6,6.5,7500000,218914,161655,"ИНКОМ-Недвижимость","30.10.2013 12:20:44","Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0236475&ir=bazaincom","Квартира 1-комн., общ.пл.-30.10, жил.пл.-16.60, кухня-6.50, метро или район:Проспект Мира, 4 мин. п, адрес:Москва, Орлово-Давыдовский пер, 2/5, этаж/этажность -5/6, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0236475, дом во дворе, небольшая уютная квартира с балконом, лифт есть, 1 собств., Цена:7.5 млн. руб.|218.914 тыс.$|161.655 тыс. евро"
23560312,1,"Нет","Таганская",5,"Нижегородская","56 А","5",17,52,22.1,12.1,7500000,218914,161655,"ИНКОМ-Недвижимость","29.10.2013 12:35:51","Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0246745&ir=bazaincom","Квартира 1-комн., общ.пл.-52.30, жил.пл.-22.10, кухня-12.10, метро или район:Таганская, 5 мин. п, адрес:Москва, Нижегородская, 56 А, этаж/этажность -5/17, балкон:Л, санузел-разд., Лот: вт-0246745, удобное трансп. сообщение, квартира в отличном состоянии, дом во дворе, юр. и физ. свободна, быстрый выход на сделку, в собств-ти более 3-х лет, оперативный показ., Цена:7.5 млн. руб.|218.914 тыс.$|161.655 тыс. евро"
24043598,2,"Нет","Таганская",7,"Новохохловская, д 4. (ж/д ст. Калитники-5 мин.пеш)","","12",12,45,28,6,7500000,213189,157428,"Н&Ц","31.01.2014 4:35:10","Тел.: 8-495-771-1937 или http:/www.anld.ru/agent.html","","Квартира 2-комн., общ.пл.-45, жил.пл.-28 изол( окна-двор), кухня-6, метро или район:Таганская, 7 мин. тр., адрес:Москва, Новохохловская, д 4. (ж/д ст. Калитники-5 мин.пеш), , этаж/этажность -12/12, тел, балкон, сур, стеклопакеты. Среднее состояние. Более 3-х лет в собственности. Свободна., Цена:7.5 млн. руб."
23653093,2,"Нет","Таганская",10,"Нижегородская","18","5",5,44,29,5,7600000,216031,159527,"Азбука Жилья","06.11.2013 10:20:21","Тел.: +7 (495) 739-5551, http://http://www.azbuka-vtorich.ru/77437, mailto:belorusvtoz@azbuka.ru","","Квартира 2-комн., общ.пл.-44, жил.пл.-29, кухня-5, метро или район:Таганская, 10 мин. п, адрес:Москва, Нижегородская, 18, этаж/этажность -5/5, балкон:Б, санузел-совм., Более 3-х лет в собственности. Отличное состояние. Прямая продажа. окна во двор. Менеджер по продажам: 8-916-693-78-37, Цена:7.6 млн. руб."
23435426,1,"Нет","Таганская",10,"Брошевский пер","4","3",14,36,20,10,7700000,224751,165966,"ИНКОМ-Недвижимость","17.10.2013 12:50:06","Тел.: +7(495)363-10-00, mailto:mk_sm@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0245778&ir=bazaincom","Квартира 1-комн., общ.пл.-36.00, жил.пл.-20.00, кухня-10.00, метро или район:Таганская, 10 мин. п, адрес:Москва, Брошевский пер, 4, этаж/этажность -3/14, балкон:Л, телефон-ЕСТЬ, санузел-совм., Лот: вт-0245778, кв-ра с ремонтом, ламинат, с/у евростандарт, окна во двор, метал. дверь, тихо, зелено, рядом монастырь св. Матроны, развитая инфрастр., юр. свободна, более 3 лет в собственности, быстрый выход на сделку, свободная продажа, Содействие в получении специальных условий и преференций по ипо ..."
